date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,583,990.25,675.89,624.26,799.28,119.451,11
2024-12-15T00:00:00.000Z,337.44,676.81,443.91,394.38,511.27,88.531,24
2024-12-16T00:00:00.000Z,313.48,594.71,398.85,341.14,456.72,78.818,24
2024-12-17T00:00:00.000Z,340.69,1225.09,554.41,399.98,666.7,203.872,24
2024-12-18T00:00:00.000Z,306.56,944.16,565.73,397.04,666.65,180.529,24
2024-12-19T00:00:00.000Z,302.25,903.38,450.19,353.72,535.91,136.973,24
2024-12-20T00:00:00.000Z,314.77,52920.4,402.42,328,646.1,11435.6,20
2024-12-21T00:00:00.000Z,304.92,499.71,406.76,327.33,449.57,65.494,24
2024-12-22T00:00:00.000Z,299.2,1439.3,517.6,353.95,767.81,314.821,24
2024-12-23T00:00:00.000Z,313.47,1289.79,655.03,359.42,864.13,313.301,24
2024-12-24T00:00:00.000Z,310.02,1197.44,518.02,374.17,852.8,273.248,24
2024-12-25T00:00:00.000Z,307.08,1618.11,451.82,380.71,593.42,308.622,24
2024-12-26T00:00:00.000Z,350.14,1394.34,551.3,399.01,753.28,243.973,24
2024-12-27T00:00:00.000Z,325.36,1071.79,537.51,483.68,689.07,206.656,24
2024-12-28T00:00:00.000Z,284.36,761.39,397.46,343.1,496.23,123.855,24
2024-12-29T00:00:00.000Z,279.58,1675.3,524.9,366.5,587.48,286.291,21
2024-12-30T00:00:00.000Z,416.04,999,527.28,482.17,582.64,158.656,22
2024-12-31T00:00:00.000Z,422.6,999.9,620.39,509.79,701.26,140.717,24
2025-01-01T00:00:00.000Z,476.89,890.92,602.04,567.51,649.54,96.403,24
2025-01-02T00:00:00.000Z,362.78,1487.59,547.33,475.22,623.98,223.714,24
2025-01-03T00:00:00.000Z,326.55,637.25,442.79,405.94,500.17,78.599,24
2025-01-04T00:00:00.000Z,377.42,734.48,539.2,417.82,648.97,120.271,24
2025-01-05T00:00:00.000Z,395.09,1313.68,513.88,467.23,791.52,264.569,24
2025-01-06T00:00:00.000Z,338.94,707.47,481.23,427.7,546.49,88.865,24
2025-01-07T00:00:00.000Z,320.25,544.89,423.53,359.42,474.35,69.727,24
2025-01-08T00:00:00.000Z,307.26,703.28,394.72,354.07,433.51,84.798,24
2025-01-09T00:00:00.000Z,305.08,779.99,488.44,417.43,661.51,137.462,24
2025-01-10T00:00:00.000Z,362.17,1311.59,497.67,428.91,716.73,270.687,24
2025-01-11T00:00:00.000Z,356.46,1870.34,565.27,468.32,968.69,395.914,24
2025-01-12T00:00:00.000Z,361.09,1192.01,466.78,409.98,647.33,228.566,24
2025-01-13T00:00:00.000Z,359.16,1253.6,490.16,404.76,740.79,232.049,22
2025-01-14T00:00:00.000Z,336.62,1232.25,651.51,416.02,848.18,251.48,19
2025-01-15T00:00:00.000Z,391.02,2099.33,871.31,713.43,980.22,374.938,24
2025-01-16T00:00:00.000Z,651,1061.6,852.57,772.32,896.77,96.921,24
2025-01-17T00:00:00.000Z,364.98,1341.74,765.83,514.41,882.4,240.631,24
2025-01-18T00:00:00.000Z,431.06,834.2,600.6,506.13,700.42,115.451,24
2025-01-19T00:00:00.000Z,403.66,1017.15,667.5,534.95,784.05,167.66,24
2025-01-20T00:00:00.000Z,378.74,1105.41,663.83,475.84,816.97,205.043,24
2025-01-21T00:00:00.000Z,325.7,1169.16,404.28,368.95,621.41,257.528,24
2025-01-22T00:00:00.000Z,295.98,16849.3,371.1,325.72,398.24,3591.93,20
2025-01-23T00:00:00.000Z,315.68,629.6,374.77,356.37,471.17,81.352,24
2025-01-24T00:00:00.000Z,317.86,1208.43,436.61,374.47,551.57,227.978,24
2025-01-25T00:00:00.000Z,362.82,1014.45,506.83,463.24,633.48,173.76,23
2025-01-26T00:00:00.000Z,348.04,888.87,482.38,441.36,582.29,138.694,22
2025-01-27T00:00:00.000Z,359.27,1302.79,697.15,592.39,932.83,249.44,24
2025-01-28T00:00:00.000Z,405.19,1341.11,782.78,585.36,990.99,262.8,24
2025-01-29T00:00:00.000Z,516.91,1306.28,665.07,620.34,809.47,177.806,24
2025-01-30T00:00:00.000Z,405.05,695.21,519.91,437.8,565.94,81.167,20
2025-01-31T00:00:00.000Z,334.68,1188.72,420.03,386.66,476.46,172.778,24
2025-02-01T00:00:00.000Z,359.61,714.99,440.56,423.09,500.64,95.191,24
2025-02-02T00:00:00.000Z,334.21,1322.32,489.45,377.82,700.34,242.91,24
2025-02-03T00:00:00.000Z,318.79,1172.54,449.82,368.53,660.12,206.47,24
2025-02-04T00:00:00.000Z,329.79,910.75,543.25,432.05,715.82,170.456,24
2025-02-05T00:00:00.000Z,330.08,1234.57,611.88,453.95,746.03,212.523,24
2025-02-06T00:00:00.000Z,330.2,1675.38,477.89,374.48,657.19,288.281,24
2025-02-07T00:00:00.000Z,285.33,690.49,429.23,345.94,497.3,101.343,24
2025-02-08T00:00:00.000Z,337.2,657.09,439.33,358.62,491.43,100.774,24
2025-02-09T00:00:00.000Z,409.44,810.55,522.64,479.54,574.04,107.745,24
2025-02-10T00:00:00.000Z,419,768.42,583.38,527.69,676.36,99.827,24
2025-02-11T00:00:00.000Z,384.5,626.37,478.12,438.62,543.97,68.394,24
2025-02-12T00:00:00.000Z,364.75,640.5,544.76,478.34,584.64,82.278,24
