date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,20.66,40.63,26.01,21.69,38.76,7.863,11
2024-12-15T00:00:00.000Z,0.01,42.82,1.07,0.56,10.28,14.028,24
2024-12-16T00:00:00.000Z,0.23,9.32,3.74,1.49,6.35,2.534,24
2024-12-17T00:00:00.000Z,0.02,17.23,2.08,1.34,6.34,4.814,24
2024-12-18T00:00:00.000Z,0.3,30.29,14.12,4.23,21.03,9.14,24
2024-12-19T00:00:00.000Z,0.01,16,2.97,0.46,8.41,4.919,24
2024-12-20T00:00:00.000Z,0.08,8864.57,0.92,0.23,4433.01,3838.2,4
2025-02-06T00:00:00.000Z,5.63,134.5,20,10.69,46.45,29.213,20
2025-02-07T00:00:00.000Z,2.88,21.32,9.9,7.27,15.1,4.998,24
2025-02-08T00:00:00.000Z,3.6,27.69,9.32,5.13,15.25,6.993,24
2025-02-09T00:00:00.000Z,1.18,18.94,6.99,3.72,11.05,4.838,24
2025-02-10T00:00:00.000Z,4.18,54.78,26.43,9.66,44.68,17.383,24
2025-02-11T00:00:00.000Z,4.65,16.17,9.53,7.91,12.51,3.157,24
2025-02-12T00:00:00.000Z,2.82,22.98,9.94,4.51,12.5,4.838,24
2025-02-13T00:00:00.000Z,3.91,21.54,14.35,11.59,16.91,4.401,24
2025-02-14T00:00:00.000Z,1.11,63.85,15.09,9.85,34.9,17.218,23
2025-02-15T00:00:00.000Z,2.52,58.45,14.3,5.7,24.59,16.157,24
2025-02-16T00:00:00.000Z,6.25,82.26,21.52,13.18,50.4,22.698,24
2025-02-17T00:00:00.000Z,2.35,17.86,7.06,4.24,9.93,3.777,24
2025-02-18T00:00:00.000Z,1.12,50.84,14.08,8.64,22.42,11.161,24
2025-02-19T00:00:00.000Z,9.07,33.64,17.07,13.09,23.79,6.727,24
2025-02-20T00:00:00.000Z,5.18,43.18,23.21,12.57,29,9.9,24
2025-02-21T00:00:00.000Z,2.33,88.2,12.66,7.42,22.26,23.07,24
2025-02-22T00:00:00.000Z,1.94,49.33,12.33,7.45,18.95,10.655,24
2025-02-23T00:00:00.000Z,3.64,33.81,16.89,11.43,25.87,9.053,24
2025-02-24T00:00:00.000Z,6.15,71.69,36.83,21.95,49.87,17.407,24
2025-02-25T00:00:00.000Z,0.14,47.89,15.72,1.04,25.09,14.731,24
2025-02-26T00:00:00.000Z,0.11,34004.6,5.33,1.22,10.21,7410.28,22
2025-03-19T00:00:00.000Z,5.24,63.66,10.81,8.99,22.12,15.08,13
2025-03-20T00:00:00.000Z,9.27,133.79,19.82,13.41,30.43,25.758,24
2025-03-21T00:00:00.000Z,11.86,82.73,20.2,15.54,37.71,17.201,24
2025-03-22T00:00:00.000Z,19.89,111.36,72.75,45.16,90.76,25.848,24
2025-03-23T00:00:00.000Z,37.26,98.41,51.36,43.88,66.69,18.229,24
2025-03-24T00:00:00.000Z,0.15,27.28,3.48,1.43,8.13,6.011,24
2025-03-25T00:00:00.000Z,0.73,5.2,2.7,1.77,4.05,1.379,24
2025-03-26T00:00:00.000Z,1.39,11.23,6.63,3.89,8.85,2.911,24
2025-03-27T00:00:00.000Z,1.84,32.24,10.02,6.22,11.12,7.792,10
2025-03-28T00:00:00.000Z,9.08,58.79,12.24,9.93,15.64,10.921,19
2025-03-29T00:00:00.000Z,3.43,28.94,9.94,6.1,15.25,6.476,24
2025-03-30T00:00:00.000Z,4.29,84.74,11.73,9.19,14.92,17.469,24
2025-03-31T00:00:00.000Z,5.72,35.09,13.16,11.83,21.49,7.467,24
2025-04-01T00:00:00.000Z,7.61,49.06,16.61,13.66,19,9.385,24
2025-04-02T00:00:00.000Z,9.33,34.65,20.23,17.63,23.27,5.829,24
2025-04-03T00:00:00.000Z,10.87,26.58,16.18,12.46,23.24,5.867,14
2025-04-04T00:00:00.000Z,3.02,827.28,21.39,9.94,33.83,172.225,21
2025-04-05T00:00:00.000Z,5.82,46.55,24,13.5,30.85,10.892,24
2025-04-06T00:00:00.000Z,5.43,61.83,19.29,9.42,22.62,12.782,24
2025-04-07T00:00:00.000Z,8.97,50.59,31.1,15.17,38.04,12.933,24
2025-04-08T00:00:00.000Z,2.99,25.77,14.37,6.65,19.22,6.872,24
2025-04-09T00:00:00.000Z,11.59,48.24,18.13,16.57,27.46,10.283,24
2025-04-10T00:00:00.000Z,6.83,22.75,13.54,12.77,15.52,3.213,24
2025-04-11T00:00:00.000Z,6.06,38.09,10.07,8.02,17.46,7.251,24
2025-04-12T00:00:00.000Z,5.85,2548.37,9.73,7.34,18.89,527.191,22
2025-04-13T00:00:00.000Z,9.57,29.4,15.69,11.32,19.21,5.415,13
2025-04-14T00:00:00.000Z,7.78,24.32,11.71,10.15,16.87,5.011,9
2025-04-15T00:00:00.000Z,4.99,27669.7,9.75,6.01,20.91,6506.89,17
2025-04-16T00:00:00.000Z,4.66,8292.04,8.77,7.19,18.07,2065.639,15
2025-04-22T00:00:00.000Z,6.14,75.61,9.19,8.09,12.16,17.208,14
2025-04-23T00:00:00.000Z,2.93,32.25,7.99,5.22,11.55,7.025,24
2025-04-24T00:00:00.000Z,2.61,37.65,7.28,4.84,9.96,7.733,24
2025-04-25T00:00:00.000Z,5.19,22292,11.29,8.83,29,5556.81,15
2025-04-26T00:00:00.000Z,7.78,35.5,13.73,11.14,21.5,7.526,11
2025-04-27T00:00:00.000Z,8.67,40.38,13.85,10.81,15.33,8.892,15
2025-04-28T00:00:00.000Z,13.33,40.81,21.34,15.95,30.2,8.866,18
2025-04-29T00:00:00.000Z,9.1,35.38,16.89,14.33,20.3,6.792,19
2025-04-30T00:00:00.000Z,10.06,39.24,19.32,14.67,31.85,8.953,17
2025-05-01T00:00:00.000Z,7.73,39.33,21.71,11.41,26.52,8.513,21
2025-05-02T00:00:00.000Z,5.95,31.13,9.68,7.93,17,6.519,18
2025-05-03T00:00:00.000Z,6.5,10.98,8.25,6.7,10.29,1.864,4
2025-05-04T00:00:00.000Z,5.27,19005.5,12.19,8.74,23.1,4155.51,21
2025-05-05T00:00:00.000Z,9.02,41964.2,14.56,9.83,20.39,9608.97,18
2025-05-06T00:00:00.000Z,10.11,12038.9,18.36,13.02,22.42,2492.31,24
2025-05-07T00:00:00.000Z,10.71,36.33,17.12,12.99,22.27,7.093,19
2025-05-08T00:00:00.000Z,13,128708,23.91,18.21,50.39,28732.9,19
2025-05-09T00:00:00.000Z,6.72,22.88,12.12,9.27,15.98,4.016,24
2025-05-10T00:00:00.000Z,5.82,25.99,13.04,8.78,16.77,5.084,24
2025-05-11T00:00:00.000Z,2.54,16.27,6.62,3.97,11.51,4.114,24
2025-05-12T00:00:00.000Z,5.73,19.02,8.96,6.93,10.79,3.654,24
2025-05-13T00:00:00.000Z,5.09,26.88,9.36,6.43,14.27,6.41,24
2025-05-14T00:00:00.000Z,4.17,35.44,8.59,5.82,13.95,7.977,24
2025-05-15T00:00:00.000Z,4.44,23980.2,13.8,8.19,19.51,4788.89,24
2025-05-16T00:00:00.000Z,6.04,56.65,12.99,8.05,21.09,12.476,24
2025-05-17T00:00:00.000Z,9.84,360.22,29.63,19.05,35.33,73.763,24
2025-05-18T00:00:00.000Z,6.53,147.07,14.63,11.05,26.52,37.258,24
2025-05-19T00:00:00.000Z,3.37,18.98,7.87,5.28,10.71,4.151,24
2025-05-20T00:00:00.000Z,6.27,25.03,10.62,9.07,14.58,5.338,24
2025-05-21T00:00:00.000Z,3.89,27.99,9.44,5.12,18.88,7.215,24
