date,min,max,median,q1,q3,stdev,count
2024-12-14T00:00:00.000Z,12.21,35.92,16.13,13.93,25.8,7.213,11
2024-12-15T00:00:00.000Z,0.36,26.9,3.19,1.5,9.67,7.496,24
2024-12-16T00:00:00.000Z,0.35,11.8,1.74,0.66,4.43,3.475,24
2024-12-17T00:00:00.000Z,0.38,43.88,11.48,2.82,21.95,11.047,24
2024-12-18T00:00:00.000Z,0.37,32.99,16.3,0.7,19.88,10.356,24
2024-12-19T00:00:00.000Z,0.46,23.77,6.96,1.77,19.23,8.132,24
2024-12-20T00:00:00.000Z,0.35,138.87,1.69,0.35,10.86,29.847,20
2024-12-21T00:00:00.000Z,0.35,16.11,1.12,0.39,7.27,4.696,24
2024-12-22T00:00:00.000Z,0.35,58.86,7.47,0.78,29.16,16.683,24
2024-12-23T00:00:00.000Z,0.64,46.82,15.74,1.48,23.85,14.403,24
2024-12-24T00:00:00.000Z,1,44.96,8.86,2.18,26.57,14.453,24
2024-12-25T00:00:00.000Z,0.39,67.97,4.41,1.18,11.06,16.887,24
2024-12-26T00:00:00.000Z,0.97,76.81,9.41,3.91,22.53,16.352,24
2024-12-27T00:00:00.000Z,0.75,34.26,11.26,5.4,20.02,10.215,24
2024-12-28T00:00:00.000Z,0.35,22.73,2.9,0.46,9.44,6.228,24
2024-12-29T00:00:00.000Z,0.35,64.06,11.44,3.84,18.71,13.521,21
2024-12-30T00:00:00.000Z,3.58,32.95,9.99,6.13,14.23,8.093,22
2024-12-31T00:00:00.000Z,2.54,34.85,12.34,7.95,17.32,7.087,24
2025-01-01T00:00:00.000Z,7.37,25.47,13.25,12.23,16.55,4.183,24
2025-01-02T00:00:00.000Z,0.56,49.29,11.02,7.22,13.66,9.573,24
2025-01-03T00:00:00.000Z,0.46,15.87,8.21,3.73,10,4.395,24
2025-01-04T00:00:00.000Z,1.7,21.86,11.32,4.24,16.48,6.189,24
2025-01-05T00:00:00.000Z,3.43,51.94,10.47,7.03,23.26,14.152,24
2025-01-06T00:00:00.000Z,0.36,25.29,5.54,3.42,9.83,6.265,24
2025-01-07T00:00:00.000Z,0.35,21.36,3.83,0.9,10,6.337,24
2025-01-08T00:00:00.000Z,0.39,12.5,2.7,0.96,4.26,2.778,24
2025-01-09T00:00:00.000Z,0.35,23.56,7.72,3.29,17.98,7.806,24
2025-01-10T00:00:00.000Z,1.06,48.72,7.89,3.67,21.79,14.583,24
2025-01-11T00:00:00.000Z,0.8,75.79,11.08,4.91,31.28,20.11,24
2025-01-12T00:00:00.000Z,0.83,51.3,6.61,2.64,13.56,13.666,24
2025-01-13T00:00:00.000Z,0.7,56.51,6.79,3.38,17.28,13.71,22
2025-01-14T00:00:00.000Z,2.15,41.74,11.5,7.77,25.34,11.475,19
2025-01-15T00:00:00.000Z,3.84,81.34,23.11,17.69,32.76,17.534,24
2025-01-16T00:00:00.000Z,15.58,36.32,23.76,21.4,28.29,4.809,24
2025-01-17T00:00:00.000Z,2.64,48.01,20.3,11.78,25.37,11.134,24
2025-01-18T00:00:00.000Z,5.18,24.83,11.99,9.32,16.21,5.418,24
2025-01-19T00:00:00.000Z,1.99,32.35,15.46,9.06,19.95,8.275,24
2025-01-20T00:00:00.000Z,4.13,38.31,15.61,9.27,24.13,9.595,24
2025-01-21T00:00:00.000Z,0.44,42.43,4.03,2,14.21,13.175,24
2025-01-22T00:00:00.000Z,0,9.6,0.56,0.39,3.85,2.822,20
2025-01-23T00:00:00.000Z,0.35,13.25,2.06,0.89,5.74,3.759,24
2025-01-24T00:00:00.000Z,0.38,40.34,6.89,2.12,13.09,10.533,24
2025-01-25T00:00:00.000Z,1.18,33.4,8.13,4.55,16.21,9.343,23
2025-01-26T00:00:00.000Z,2.13,28.75,9.51,5.04,14.76,7.419,22
2025-01-27T00:00:00.000Z,0.69,44.74,19.47,10.88,30.27,12.435,24
