date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-05-01 00:00:00,18,11,25,0,,,21.2,,1016.4,
2024-05-02 00:00:00,20.2,9.1,26,0,,,8.7,,1011.7,
2024-05-03 00:00:00,20.6,12.8,27.3,0,,,10.5,,1003.9,
2024-05-04 00:00:00,20.4,16,27,3.1,,,8.7,,1004.1,
2024-05-05 00:00:00,16.9,13.7,23,44.6,,,18.8,,1007.3,
2024-05-06 00:00:00,19.9,10.8,26,0.9,,,4.6,,1015.3,
2024-05-07 00:00:00,22.7,12.4,29,0,,,9.2,,1015.6,
2024-05-08 00:00:00,25.7,16,32.3,0,,,9,,1010.7,
2024-05-09 00:00:00,23.3,15.4,31.6,10.7,,,11.1,,1010.2,
2024-05-10 00:00:00,17.1,14,21.8,22,,,6.9,,1014.1,
2024-05-11 00:00:00,16.4,12.1,20,6.8,,,12.5,,1020.4,
2024-05-12 00:00:00,18.5,9.9,25,0.1,,,6,,1018.3,
2024-05-13 00:00:00,21.7,13,28.1,0,,,7.8,,1013.5,
2024-05-14 00:00:00,25.9,14.9,34,0,,,8.9,,1009.8,
2024-05-15 00:00:00,24.3,18,30,0,,,8.1,,1011.7,
2024-05-16 00:00:00,19.5,16.6,23.2,7.4,,,10.8,,1017.1,
2024-05-17 00:00:00,23.2,12.9,29,0,,,6.3,,1011.7,
2024-05-18 00:00:00,19.4,15.5,24,19,,,15.2,,1009.8,
2024-05-19 00:00:00,13.7,11.8,17,6.7,,,12.5,,1016,
2024-05-20 00:00:00,16.7,12,21,0,,,6.3,,1018.7,
2024-05-21 00:00:00,19.9,12.9,24,0.2,,,7,,1019.2,
2024-05-22 00:00:00,20.7,14.9,25,0,,,10.2,,1017.6,
2024-05-23 00:00:00,21.4,15.2,27,2.9,,,9.5,,1012.8,
2024-05-24 00:00:00,18.4,14.8,22,38,,,13.1,,1010,
2024-05-25 00:00:00,18.2,9.7,27.1,3.9,,,14.7,,1013.4,
2024-05-26 00:00:00,11.9,4.4,18,0,,,8,,1025.5,
2024-05-27 00:00:00,18.9,5.1,27,0,,,5.4,,1016.4,
2024-05-28 00:00:00,20.4,8.9,27,0,,,9.8,,1015.2,
2024-05-29 00:00:00,21.2,10.5,27,0,,,8.9,,1014.9,
2024-05-30 00:00:00,22.3,9.5,29,0,,,7.5,,1015.7,
2024-05-31 00:00:00,23.5,10.5,31,0,,,7.2,,1017.4,
2024-06-01 00:00:00,25.1,11.9,32,0,,,5.7,,1013.8,
2024-06-02 00:00:00,25.7,12.5,32,0,,,7.4,,1012.1,
2024-06-03 00:00:00,23.2,14.9,28,0,,,9.2,,1012.1,
2024-06-04 00:00:00,24.8,13.4,31,0,,,8.6,,1012.3,
2024-06-05 00:00:00,25.9,14.4,33,0,,,6.4,,1010.7,
2024-06-06 00:00:00,26.6,14.2,34,0,,,7.5,,1011,
2024-06-07 00:00:00,27.3,13.4,34,0,,,8.5,,1010.4,
2024-06-08 00:00:00,27.8,16.5,35,0,,,6.8,,1008.5,
2024-06-09 00:00:00,29.5,18,37,0,,,8.8,,1007,
2024-06-10 00:00:00,29.9,23,37,0,,,9.8,,1009,
2024-06-11 00:00:00,28.7,20.1,35,0.4,,,9.5,,1010,
2024-06-12 00:00:00,29.1,20.2,35,0,,,12,,1008.6,
2024-06-13 00:00:00,25.4,18.5,31.1,0,,,12.5,,1008.8,
2024-06-14 00:00:00,25.2,12.4,32.3,0,,,9.9,,1007.1,
2024-06-15 00:00:00,27.6,15,34,0,,,6.3,,1005.7,
2024-06-16 00:00:00,29.9,18.8,36,0,,,8.7,,1005.9,
2024-06-17 00:00:00,30.3,19,36,0,,,9.9,,1007,
2024-06-18 00:00:00,29.8,19.5,35,0,,,9.2,,1009.2,
2024-06-19 00:00:00,30.7,20,37,0,,,9.9,,1006.3,
2024-06-20 00:00:00,30.5,21,36.1,0,,,9,,1002.1,
2024-06-21 00:00:00,28.4,20.8,35.5,0.9,,,9,,1001.4,
2024-06-22 00:00:00,30.8,16.5,38,0,,,7.8,,1002.5,
2024-06-23 00:00:00,29.3,21,36,1,,,13.9,,1004.4,
2024-06-24 00:00:00,27.7,23,34,0.2,,,13.2,,1007.5,
2024-06-25 00:00:00,28.3,20.1,35,0,,,8.2,,1006.6,
2024-06-26 00:00:00,29.4,18.7,37,0,,,6.1,,1002.9,
2024-06-27 00:00:00,33.4,19.7,41,0,,,7.5,,1000.2,
2024-06-28 00:00:00,30.6,25.3,37.3,0,,,11.7,,1003.7,
2024-06-29 00:00:00,28.1,20,34,0,,,7,,1005,
2024-06-30 00:00:00,28.3,20.5,34,0,,,8.2,,1004.9,
2024-07-01 00:00:00,22.9,17.7,30,0,,,10,,1006,
2024-07-02 00:00:00,23.7,10.5,29,0,,,10.5,,1007.5,
2024-07-03 00:00:00,26.6,16.5,33,0,,,9.3,,1006.8,
2024-07-04 00:00:00,27.6,17.3,35,0,,,8.1,,1005.6,
2024-07-05 00:00:00,29,18.5,35,0,,,9.6,,1002.5,
2024-07-06 00:00:00,27.9,18,34,0,,,8.7,,1001.1,
2024-07-07 00:00:00,24.8,20,31,1.1,,,10.4,,1002.6,
2024-07-08 00:00:00,27.1,18.7,33,2.2,,,10.8,,1005.2,
2024-07-09 00:00:00,28.2,17.6,34,0,,,8,,1008.2,
2024-07-10 00:00:00,30.1,20.1,36,0,,,8.1,,1008.1,
2024-07-11 00:00:00,30.6,18.5,37,0,,,6,,1005.7,
2024-07-12 00:00:00,29.7,24.8,37,1.6,,,11.2,,1000.5,
2024-07-13 00:00:00,29.5,20.2,36,0,,,19.6,,999.9,
2024-07-14 00:00:00,28.6,21.5,33,0,,,16,,1000.4,
2024-07-15 00:00:00,26.7,22,32,0.1,,,18.2,,1004,
2024-07-16 00:00:00,25.4,17,33,6.8,,,14,,1007.1,
2024-07-17 00:00:00,26.7,17.4,34,0,,,13.8,,1005.3,
2024-07-18 00:00:00,27.5,16.8,33,0,,,9.5,,1004.8,
2024-07-19 00:00:00,26.6,20,34,0.6,,,12.6,,1002.9,
2024-07-20 00:00:00,28.4,22.2,34,0,,,12.6,,1003,
2024-07-21 00:00:00,28.9,17.8,36,0,,,9.2,,1004.7,
2024-07-22 00:00:00,29.9,18.8,37,0,,,7,,1003.5,
2024-07-23 00:00:00,30.5,20.2,38,0,,,10.5,,1001.8,
2024-07-24 00:00:00,31.3,20.7,37,0,,,9,,999.7,
2024-07-25 00:00:00,32,21.4,39,0,,,9.8,,998,
2024-07-26 00:00:00,31.8,21.8,38,0,,,13.4,,1000.8,
2024-07-27 00:00:00,30.6,20,38,0,,,8.2,,1003.9,
2024-07-28 00:00:00,29.7,20.8,38,0,,,8.9,,1005.5,
2024-07-29 00:00:00,29.3,18.1,37,0,,,6.4,,1004.6,
2024-07-30 00:00:00,30.9,21.7,37,0,,,7.5,,1003.8,
2024-07-31 00:00:00,32.2,24,39,0,,,9.6,,1002.6,
2024-08-01 00:00:00,32.8,22.5,39,0,,,12.2,,999.9,
2024-08-02 00:00:00,31.5,26,39,0,,,8,,1001.8,
2024-08-03 00:00:00,29.3,18.7,36,0,,,6.8,,1003.6,
2024-08-04 00:00:00,30.1,19.5,37,0,,,8.4,,1004.4,
2024-08-05 00:00:00,30.7,19.6,37.1,0,,,9.8,,1004.8,
2024-08-06 00:00:00,30.6,19.6,37,0,,,6.9,,1004.4,
2024-08-07 00:00:00,31.3,19.4,39,0,,,7,,1004.2,
2024-08-08 00:00:00,32.7,20.5,40,0,,,8,,1003.4,
2024-08-09 00:00:00,33.4,26,41,0,,,14.4,,1002.7,
2024-08-10 00:00:00,27.1,21.5,33,0,,,8.4,,1008.9,
2024-08-11 00:00:00,28.6,18,35,0,,,8.5,,1007.6,
2024-08-12 00:00:00,29.8,21,37,0,,,10.3,,1008,
2024-08-13 00:00:00,31.6,20,38,0,,,9.2,,1007.2,
2024-08-14 00:00:00,31.9,23.1,38,0,,,8,,1007.4,
2024-08-15 00:00:00,32.4,22.2,39,0,,,8.9,,1005.7,
2024-08-16 00:00:00,26.1,22.6,32,0.2,,,9.9,,1006.9,
2024-08-17 00:00:00,25.2,16,32,8.9,,,11.1,,1008,
2024-08-18 00:00:00,24.4,19.1,30,0,,,9.9,,1013.4,
2024-08-19 00:00:00,24.2,13.4,31,0,,,7.5,,1013.8,
2024-08-20 00:00:00,26.2,15,33,0,,,7.8,,1009.3,
2024-08-21 00:00:00,26.1,15.5,33,0,,,9.2,,1009.2,
2024-08-22 00:00:00,26.9,17.1,34,0,,,9.3,,1008.3,
2024-08-23 00:00:00,26.1,15.5,33,0,,,8,,1008,
2024-08-24 00:00:00,26.2,17.6,33,0,,,13.5,,1009.4,
2024-08-25 00:00:00,24.1,13,30.1,0,,,7.2,,1012.1,
2024-08-26 00:00:00,25.2,14.5,33,0,,,7.4,,1009.5,
2024-08-27 00:00:00,24.1,13.3,31.4,0,,,6.3,,1008,
2024-08-28 00:00:00,22.9,16.5,29.6,,,,11.4,,,
2024-08-29 00:00:00,22.2,16,28,,,,6.8,,,
2024-08-30 00:00:00,25.4,13,33,,,,5.8,,,
2024-08-31 00:00:00,25.1,15,33,,,,8.2,,,
2024-09-01 00:00:00,24.2,13.4,30.1,,,,9.3,,,
2024-09-02 00:00:00,20.7,15.8,25.4,,,,17.6,,,
2024-09-03 00:00:00,22.2,9.4,30,,,,9.5,,,
2024-09-04 00:00:00,23.3,12.4,31,,,,10,,1012.2,
2024-09-05 00:00:00,21.4,11.4,28.5,0,,,7.7,,1009.3,
2024-09-06 00:00:00,17.9,14,25.2,0,,,8.5,,1009.9,
2024-09-07 00:00:00,17,6.4,25,0,,,5.6,,1019.6,
2024-09-08 00:00:00,18.8,7.4,26.1,0,,,9,,1017.6,
2024-09-09 00:00:00,18.3,10.9,25,0,,,6.1,,1018.2,
2024-09-10 00:00:00,20.1,9.5,28.2,0,,,9.6,,1018.4,
2024-09-11 00:00:00,22.1,10.5,29.1,0,,,6.8,,1016,
2024-09-12 00:00:00,23.1,14,30.6,0,,,14.4,,1010.6,
2024-09-13 00:00:00,21.2,12.9,28,0,,,18.6,,1009,
2024-09-14 00:00:00,21.6,12.9,28.7,0,,,16.6,,1008.9,
2024-09-15 00:00:00,22.1,12.5,30,0,,,7.8,,1008.5,
2024-09-16 00:00:00,23.1,12,29,0,,,7.7,,1009.4,
2024-09-17 00:00:00,19.7,13.4,26,8.9,,,11.7,,1014.4,
2024-09-18 00:00:00,22.6,12.9,29,0,,,8,,1015.4,
2024-09-19 00:00:00,21.9,18.1,29,0.8,,,9.9,,1015.7,
2024-09-20 00:00:00,18.6,11.9,24.5,0,,,7,,1018.7,
2024-09-21 00:00:00,21.1,11.1,28.7,0,,,5.1,,1015.2,
2024-09-22 00:00:00,21.8,14.7,28,0,,,5.9,,1015.4,
2024-09-23 00:00:00,21.2,11.3,30,0,,,5.1,,1016.5,
2024-09-24 00:00:00,22.9,11.4,30.3,0,,,6.8,,1015.7,
2024-09-25 00:00:00,21.9,13.4,31,0.1,,,7.7,,1010.3,
2024-09-26 00:00:00,19.5,15,26.1,20.5,,,8.1,,1011,
2024-09-27 00:00:00,17.4,11.1,24.3,0.6,,,20.4,,1017.8,
2024-09-28 00:00:00,17.8,9.9,24.1,0,,,21.2,,1020.4,
2024-09-29 00:00:00,19.1,11.4,25.8,0,,,20.6,,1019,
2024-09-30 00:00:00,17.9,12.1,24.7,0.6,,,11.4,,1017,
2024-10-01 00:00:00,19.3,11.4,25,0,,,4.8,,1015.1,
2024-10-02 00:00:00,20,12.6,27,0.6,,,8.2,,1013.2,
2024-10-03 00:00:00,20.6,10.4,28.7,0,,,7.8,,1014,
2024-10-04 00:00:00,21.7,12,29.1,0,,,5.9,,1011.9,
2024-10-05 00:00:00,19.5,13.9,23,1,,,10.5,,1013.9,
2024-10-06 00:00:00,19.4,11.3,25.1,1.4,,,8.7,,1018.2,
2024-10-07 00:00:00,18.4,10.2,24,0,,,7,,1023.6,
2024-10-08 00:00:00,19.6,11,28,0,,,7.9,,1020.6,
2024-10-09 00:00:00,19.7,8.4,27,0,,,6.9,,1014.8,
2024-10-10 00:00:00,21.6,12.9,26,4.2,,,15.9,,1010.6,
2024-10-11 00:00:00,14.6,13.4,20,35.4,,,15.8,,1009.9,
2024-10-12 00:00:00,14.4,8.1,18,0,,,9.2,,1017.2,
2024-10-13 00:00:00,13.3,9.9,17,12.3,,,6.4,,1014.8,
2024-10-14 00:00:00,10.1,9,12.5,26.6,,,5.6,,1017,
2024-10-15 00:00:00,8.6,3.7,13.2,2.8,,,10.4,,1019.6,
2024-10-16 00:00:00,3.8,0,8,0.4,,,6.4,,1026.7,
2024-10-17 00:00:00,8.8,-1.5,17,0,,,6,,1026,
2024-10-18 00:00:00,11.5,1,21.5,0,,,6.6,,1020.7,
2024-10-19 00:00:00,14.3,3.1,24.2,0,,,6.3,,1018.2,
2024-10-20 00:00:00,16.2,6.1,27.2,0,,,5.2,,1014.6,
2024-10-21 00:00:00,16.1,8,27.5,0,,,6.4,,1014.6,
2024-10-22 00:00:00,11.3,8,18,9.3,,,6.3,,1015.9,
2024-10-23 00:00:00,8.2,5.4,11,6.2,,,8,,1024.9,
2024-10-24 00:00:00,9.1,6,13,0,,,5.2,,1026.8,
2024-10-25 00:00:00,13.5,3.1,21,0,,,9,,1017.3,
2024-10-26 00:00:00,8.5,7.2,11,5.3,,,11.9,,1023.6,
2024-10-27 00:00:00,10.4,5,15,0.5,,,8,,1020,
2024-10-28 00:00:00,7,5,10,10.5,,,13.5,,1026.1,
2024-10-29 00:00:00,6.8,0,11,0,,,4,,1025.6,
2024-10-30 00:00:00,7.7,3,12,0,,,5.4,,1025.9,
2024-10-31 00:00:00,8.6,1.4,15.2,0,,,6.8,,1025.9,
2024-11-01 00:00:00,11.1,2.7,17.7,0,,,6.8,,1022.9,
2024-11-02 00:00:00,12.1,6.9,19.5,0,,,11.2,,1024.1,
2024-11-03 00:00:00,15.4,7,23.8,0,,,7.2,,1018,
2024-11-04 00:00:00,17.1,11.4,25,7.9,,,7.9,,1012.9,
2024-11-05 00:00:00,13.8,12.1,15,18.6,,,8.7,,1014.6,
2024-11-06 00:00:00,8.2,4.7,15,9.1,,,18.6,,1022.4,
2024-11-07 00:00:00,4.3,-1.6,8.4,0,,,8.7,,1031.6,
2024-11-08 00:00:00,6.1,0.9,7,2.3,,,16.5,,1031.8,
2024-11-09 00:00:00,7.6,1.3,11,0,,,9.8,,1030,
2024-11-10 00:00:00,6.7,2.4,11.7,0,,,5.7,,1029,
2024-11-11 00:00:00,6.4,1.9,11,0,,,8.2,,1027.5,
2024-11-12 00:00:00,8.7,1.4,13.4,0,,,4.4,,1021.9,
2024-11-13 00:00:00,1.3,-3.8,8,14.2,,,12.9,,1023.4,
2024-11-14 00:00:00,-0.7,-7.2,6.6,0,,,2.8,,1032.3,
2024-11-15 00:00:00,2.3,-3,11.1,0,,,3.2,,1027.1,
2024-11-16 00:00:00,5.1,-3.1,12.4,0,,,6.6,,1021.5,
2024-11-17 00:00:00,9.8,1,20.1,0,,,4.8,,1017.2,
